contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2501,2024-01-16,18765,18765,18680,18680,18680,18680,18680,-85,-85,1,9.34,1,
al2501,2024-01-17,18680,18680,18695,18695,18645,18645,18675,-35,-5,5,46.6975,4,
al2501,2024-01-18,18645,18675,18595,18640,18595,18640,18620,-35,-55,20,186.2475,22,
al2501,2024-01-19,18640,18620,18545,18605,18505,18505,18560,-115,-60,5,46.4025,24,
al2501,2024-01-22,18505,18560,18600,18600,18600,18600,18600,40,40,1,9.3,23,
al2501,2024-01-23,18600,18600,18500,18500,18495,18495,18495,-105,-105,61,564.2475,84,
al2501,2024-01-24,18495,18495,18700,18795,18700,18795,18745,300,250,9,84.3675,88,
al2501,2024-01-25,18795,18745,18660,18705,18605,18605,18655,-140,-90,3,27.985,89,
al2501,2024-01-26,18605,18655,18715,18840,18715,18840,18750,185,95,6,56.2575,91,
al2501,2024-01-29,18840,18750,18880,18930,18705,18715,18840,-35,90,17,160.1575,93,
al2501,2024-01-30,18715,18840,18790,18865,18740,18740,18790,-100,-50,11,103.365,97,
al2501,2024-01-31,18740,18790,18760,18760,18720,18745,18740,-45,-50,18,168.66,100,
al2501,2024-02-01,18745,18740,18860,18860,18540,18570,18650,-170,-90,79,736.7525,140,
al2501,2024-02-02,18570,18650,18545,18595,18460,18460,18545,-190,-105,246,2281.365,338,
al2501,2024-02-05,18460,18545,18515,18515,18395,18435,18435,-110,-110,67,617.715,390,
al2501,2024-02-06,18435,18435,18380,18475,18380,18455,18425,20,-10,69,635.8,438,
al2501,2024-02-07,18455,18425,18490,18545,18430,18435,18485,10,60,99,915.1575,473,
al2501,2024-02-08,18435,18485,18425,18550,18415,18550,18475,65,-10,22,203.2375,470,
al2501,2024-02-19,18550,18475,18615,18615,18350,18410,18405,-65,-70,51,469.445,499,
al2501,2024-02-20,18410,18405,18380,18425,18250,18250,18330,-155,-75,83,760.77,566,
al2501,2024-02-21,18250,18330,18535,18575,18315,18490,18440,160,110,123,1134.15,563,
al2501,2024-02-22,18490,18440,18490,18490,18330,18415,18425,-25,-15,28,257.975,564,
al2501,2024-02-23,18415,18425,18360,18460,18345,18430,18400,5,-25,37,340.45,573,
al2501,2024-02-26,18430,18400,18400,18430,18355,18390,18385,-10,-15,51,468.845,598,
al2501,2024-02-27,18390,18385,18440,18505,18405,18460,18450,75,65,11,101.495,597,
al2501,2024-02-28,18460,18450,18475,18495,18405,18425,18440,-25,-10,25,230.5325,602,
al2501,2024-02-29,18425,18440,18400,18535,18400,18515,18495,75,55,40,369.9225,590,
al2501,2024-03-01,18515,18495,18580,18585,18535,18580,18560,85,65,20,185.6325,584,
al2501,2024-03-04,18580,18560,18585,18640,18540,18640,18595,80,35,47,437.05,571,
